RUNNO,TRNO,TNAM,WSTA....,SOIL_ID...,PDAT,HDAT,HWAH,PRCM,Zones,Pyear,Pday,Hyear,Hday
28316,3,AAAA0001,AAAA7937,WI_FRAO009,1998288,1999119,2425,845,Monze,1998,288,1999,119
28317,3,AAAA0001,AAAA7937,WI_FRAO009,1999288,2000119,0,855,Monze,1999,288,2000,119
28318,3,AAAA0001,AAAA7937,WI_FRAO009,2000288,2001119,0,855,Monze,2000,288,2001,119
28319,3,AAAA0001,AAAA7937,WI_FRAO009,2001288,2002119,0,457,Monze,2001,288,2002,119
28320,3,AAAA0001,AAAA7937,WI_FRAO009,2002288,2003119,329,653,Monze,2002,288,2003,119
28321,3,AAAA0001,AAAA7937,WI_FRAO009,2003288,2004119,645,856,Monze,2003,288,2004,119
28322,3,AAAA0001,AAAA7937,WI_FRAO009,2004288,2005119,0,637,Monze,2004,288,2005,119
28323,3,AAAA0001,AAAA7937,WI_FRAO009,2005288,2006119,4792,940,Monze,2005,288,2006,119
28324,3,AAAA0001,AAAA7937,WI_FRAO009,2006288,2007119,1624,796,Monze,2006,288,2007,119
28325,3,AAAA0001,AAAA7937,WI_FRAO009,2007288,2008119,3025,1031,Monze,2007,288,2008,119
28326,3,AAAA0001,AAAA7937,WI_FRAO009,2008288,2009119,0,678,Monze,2008,288,2009,119
28327,3,AAAA0001,AAAA7937,WI_FRAO009,2009288,2010119,0,907,Monze,2009,288,2010,119
28328,3,AAAA0001,AAAA7937,WI_FRAO009,2010288,2011119,0,697,Monze,2010,288,2011,119
28329,3,AAAA0001,AAAA7937,WI_FRAO009,2011288,2012119,0,570,Monze,2011,288,2012,119
28330,3,AAAA0001,AAAA7937,WI_FRAO009,2012288,2013119,0,702,Monze,2012,288,2013,119
28331,3,AAAA0001,AAAA7937,WI_FRAO009,2013288,2014119,991,675,Monze,2013,288,2014,119
28332,3,AAAA0001,AAAA7937,WI_FRAO009,2014288,2015119,0,656,Monze,2014,288,2015,119
28380,1,AAAA0001,AAAA7937,WI_ACLS021,1990288,1991119,152,642,Monze,1990,288,1991,119
28381,1,AAAA0001,AAAA7937,WI_ACLS021,1991288,1992119,0,478,Monze,1991,288,1992,119
28382,1,AAAA0001,AAAA7937,WI_ACLS021,1992288,1993119,0,838,Monze,1992,288,1993,119
28383,1,AAAA0001,AAAA7937,WI_ACLS021,1993288,1994119,0,607,Monze,1993,288,1994,119
28384,1,AAAA0001,AAAA7937,WI_ACLS021,1994288,1995119,0,428,Monze,1994,288,1995,119
28385,1,AAAA0001,AAAA7937,WI_ACLS021,1995288,1996119,0,722,Monze,1995,288,1996,119
28386,1,AAAA0001,AAAA7937,WI_ACLS021,1996288,1997119,0,1043,Monze,1996,288,1997,119
28387,1,AAAA0001,AAAA7937,WI_ACLS021,1997288,1998119,0,598,Monze,1997,288,1998,119
28388,1,AAAA0001,AAAA7937,WI_ACLS021,1998288,1999119,0,845,Monze,1998,288,1999,119
28389,1,AAAA0001,AAAA7937,WI_ACLS021,1999288,2000119,0,855,Monze,1999,288,2000,119
28390,1,AAAA0001,AAAA7937,WI_ACLS021,2000288,2001119,0,855,Monze,2000,288,2001,119
28391,1,AAAA0001,AAAA7937,WI_ACLS021,2001288,2002119,1772,457,Monze,2001,288,2002,119
28392,1,AAAA0001,AAAA7937,WI_ACLS021,2002288,2003119,387,653,Monze,2002,288,2003,119
28393,1,AAAA0001,AAAA7937,WI_ACLS021,2003288,2004119,745,856,Monze,2003,288,2004,119
28394,1,AAAA0001,AAAA7937,WI_ACLS021,2004288,2005119,0,637,Monze,2004,288,2005,119
28395,1,AAAA0001,AAAA7937,WI_ACLS021,2005288,2006119,0,940,Monze,2005,288,2006,119
28396,1,AAAA0001,AAAA7937,WI_ACLS021,2006288,2007119,0,796,Monze,2006,288,2007,119
28397,1,AAAA0001,AAAA7937,WI_ACLS021,2007288,2008119,0,1031,Monze,2007,288,2008,119
28398,1,AAAA0001,AAAA7937,WI_ACLS021,2008288,2009119,0,678,Monze,2008,288,2009,119
28399,1,AAAA0001,AAAA7937,WI_ACLS021,2009288,2010119,0,907,Monze,2009,288,2010,119
28400,1,AAAA0001,AAAA7937,WI_ACLS021,2010288,2011119,0,697,Monze,2010,288,2011,119
28401,1,AAAA0001,AAAA7937,WI_ACLS021,2011288,2012119,0,570,Monze,2011,288,2012,119
28402,1,AAAA0001,AAAA7937,WI_ACLS021,2012288,2013119,0,702,Monze,2012,288,2013,119
28403,1,AAAA0001,AAAA7937,WI_ACLS021,2013288,2014119,433,675,Monze,2013,288,2014,119
28404,1,AAAA0001,AAAA7937,WI_ACLS021,2014288,2015119,0,656,Monze,2014,288,2015,119
28452,3,AAAA0001,AAAA7937,WI_ACLS021,1990288,1991119,134,642,Monze,1990,288,1991,119
28453,3,AAAA0001,AAAA7937,WI_ACLS021,1991288,1992119,0,478,Monze,1991,288,1992,119
28454,3,AAAA0001,AAAA7937,WI_ACLS021,1992288,1993119,0,838,Monze,1992,288,1993,119
28455,3,AAAA0001,AAAA7937,WI_ACLS021,1993288,1994119,0,607,Monze,1993,288,1994,119
28456,3,AAAA0001,AAAA7937,WI_ACLS021,1994288,1995119,0,428,Monze,1994,288,1995,119
28457,3,AAAA0001,AAAA7937,WI_ACLS021,1995288,1996119,0,722,Monze,1995,288,1996,119
28458,3,AAAA0001,AAAA7937,WI_ACLS021,1996288,1997119,0,1043,Monze,1996,288,1997,119
28459,3,AAAA0001,AAAA7937,WI_ACLS021,1997288,1998119,0,598,Monze,1997,288,1998,119
28460,3,AAAA0001,AAAA7937,WI_ACLS021,1998288,1999119,0,845,Monze,1998,288,1999,119
28461,3,AAAA0001,AAAA7937,WI_ACLS021,1999288,2000119,0,855,Monze,1999,288,2000,119
28462,3,AAAA0001,AAAA7937,WI_ACLS021,2000288,2001119,0,855,Monze,2000,288,2001,119
28463,3,AAAA0001,AAAA7937,WI_ACLS021,2001288,2002119,2479,457,Monze,2001,288,2002,119
28464,3,AAAA0001,AAAA7937,WI_ACLS021,2002288,2003119,370,653,Monze,2002,288,2003,119
28465,3,AAAA0001,AAAA7937,WI_ACLS021,2003288,2004119,1109,856,Monze,2003,288,2004,119
28466,3,AAAA0001,AAAA7937,WI_ACLS021,2004288,2005119,0,637,Monze,2004,288,2005,119
28467,3,AAAA0001,AAAA7937,WI_ACLS021,2005288,2006119,0,940,Monze,2005,288,2006,119
28468,3,AAAA0001,AAAA7937,WI_ACLS021,2006288,2007119,0,796,Monze,2006,288,2007,119
28469,3,AAAA0001,AAAA7937,WI_ACLS021,2007288,2008119,0,1031,Monze,2007,288,2008,119
28470,3,AAAA0001,AAAA7937,WI_ACLS021,2008288,2009119,0,678,Monze,2008,288,2009,119
28471,3,AAAA0001,AAAA7937,WI_ACLS021,2009288,2010119,0,907,Monze,2009,288,2010,119
28472,3,AAAA0001,AAAA7937,WI_ACLS021,2010288,2011119,0,697,Monze,2010,288,2011,119
28473,3,AAAA0001,AAAA7937,WI_ACLS021,2011288,2012119,0,570,Monze,2011,288,2012,119
28474,3,AAAA0001,AAAA7937,WI_ACLS021,2012288,2013119,0,702,Monze,2012,288,2013,119
28475,3,AAAA0001,AAAA7937,WI_ACLS021,2013288,2014119,444,675,Monze,2013,288,2014,119
28476,3,AAAA0001,AAAA7937,WI_ACLS021,2014288,2015119,0,656,Monze,2014,288,2015,119
28524,1,AAAA0001,AAAA7937,WI_CMZR003,1990288,1991119,2802,642,Monze,1990,288,1991,119
28525,1,AAAA0001,AAAA7937,WI_CMZR003,1991288,1992119,1623,478,Monze,1991,288,1992,119
28526,1,AAAA0001,AAAA7937,WI_CMZR003,1992288,1993119,1831,838,Monze,1992,288,1993,119
28527,1,AAAA0001,AAAA7937,WI_CMZR003,1993288,1994119,0,607,Monze,1993,288,1994,119
28528,1,AAAA0001,AAAA7937,WI_CMZR003,1994288,1995119,0,428,Monze,1994,288,1995,119
28529,1,AAAA0001,AAAA7937,WI_CMZR003,1995288,1996119,0,722,Monze,1995,288,1996,119
28530,1,AAAA0001,AAAA7937,WI_CMZR003,1996288,1997119,1815,1043,Monze,1996,288,1997,119
28531,1,AAAA0001,AAAA7937,WI_CMZR003,1997288,1998119,1611,598,Monze,1997,288,1998,119
28532,1,AAAA0001,AAAA7937,WI_CMZR003,1998288,1999119,1667,845,Monze,1998,288,1999,119
28533,1,AAAA0001,AAAA7937,WI_CMZR003,1999288,2000119,0,855,Monze,1999,288,2000,119
28534,1,AAAA0001,AAAA7937,WI_CMZR003,2000288,2001119,0,855,Monze,2000,288,2001,119
28535,1,AAAA0001,AAAA7937,WI_CMZR003,2001288,2002119,1051,457,Monze,2001,288,2002,119
28536,1,AAAA0001,AAAA7937,WI_CMZR003,2002288,2003119,440,653,Monze,2002,288,2003,119
28537,1,AAAA0001,AAAA7937,WI_CMZR003,2003288,2004119,686,856,Monze,2003,288,2004,119
28538,1,AAAA0001,AAAA7937,WI_CMZR003,2004288,2005119,0,637,Monze,2004,288,2005,119
28539,1,AAAA0001,AAAA7937,WI_CMZR003,2005288,2006119,3017,940,Monze,2005,288,2006,119
28540,1,AAAA0001,AAAA7937,WI_CMZR003,2006288,2007119,1385,796,Monze,2006,288,2007,119
28541,1,AAAA0001,AAAA7937,WI_CMZR003,2007288,2008119,2017,1031,Monze,2007,288,2008,119
28542,1,AAAA0001,AAAA7937,WI_CMZR003,2008288,2009119,0,678,Monze,2008,288,2009,119
28543,1,AAAA0001,AAAA7937,WI_CMZR003,2009288,2010119,0,907,Monze,2009,288,2010,119
28544,1,AAAA0001,AAAA7937,WI_CMZR003,2010288,2011119,0,697,Monze,2010,288,2011,119
28545,1,AAAA0001,AAAA7937,WI_CMZR003,2011288,2012119,0,570,Monze,2011,288,2012,119
28546,1,AAAA0001,AAAA7937,WI_CMZR003,2012288,2013119,0,702,Monze,2012,288,2013,119
28547,1,AAAA0001,AAAA7937,WI_CMZR003,2013288,2014119,921,675,Monze,2013,288,2014,119
28548,1,AAAA0001,AAAA7937,WI_CMZR003,2014288,2015119,0,656,Monze,2014,288,2015,119
28596,3,AAAA0001,AAAA7937,WI_CMZR003,1990288,1991119,3476,642,Monze,1990,288,1991,119
28597,3,AAAA0001,AAAA7937,WI_CMZR003,1991288,1992119,2276,478,Monze,1991,288,1992,119
28598,3,AAAA0001,AAAA7937,WI_CMZR003,1992288,1993119,3125,838,Monze,1992,288,1993,119
28599,3,AAAA0001,AAAA7937,WI_CMZR003,1993288,1994119,0,607,Monze,1993,288,1994,119
28600,3,AAAA0001,AAAA7937,WI_CMZR003,1994288,1995119,0,428,Monze,1994,288,1995,119
28601,3,AAAA0001,AAAA7937,WI_CMZR003,1995288,1996119,0,722,Monze,1995,288,1996,119
28602,3,AAAA0001,AAAA7937,WI_CMZR003,1996288,1997119,2290,1043,Monze,1996,288,1997,119
28603,3,AAAA0001,AAAA7937,WI_CMZR003,1997288,1998119,2140,598,Monze,1997,288,1998,119
28604,3,AAAA0001,AAAA7937,WI_CMZR003,1998288,1999119,2713,845,Monze,1998,288,1999,119
28605,3,AAAA0001,AAAA7937,WI_CMZR003,1999288,2000119,0,855,Monze,1999,288,2000,119
28606,3,AAAA0001,AAAA7937,WI_CMZR003,2000288,2001119,0,855,Monze,2000,288,2001,119
